Timestamp,Wallet_Address,Rating_Out_Of_5,Platform,Feedback_Note
2026-08-05T09:04:19Z,GDH56U7I8O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y,4,Mobile Safari,"UI is slick and fast. Loading state feedback during contract invocation is clear and helpful."
2026-08-05T14:38:52Z,GAJ67I8O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U,5,Web,"Pitch deck landing page clearly communicates the protocol architecture and value proposition."
2026-08-05T20:11:34Z,GBK78O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I,5,Android,"Tested continuous billing over 5 intervals; all settlements executed deterministically on ledger."
2026-08-06T08:29:45Z,GCL89P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O,5,Chrome Extension,"The Enterprise tier integration matches our B2B requirements for scheduled token streaming."
2026-08-06T12:50:11Z,GDM92A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P,4,Web,"Would love to see EURC and USDC stablecoin streaming supported in the next milestone release."
2026-08-06T16:15:28Z,GAN23S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A,5,Mobile Safari,"Tested on iPhone Safari. Freighter wallet deep link connected smoothly on testnet."
2026-08-07T09:40:02Z,GBP34D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S,5,Web,"Live balance reflection after subscription pull verified against Horizon testnet endpoint."
2026-08-07T14:05:37Z,GCQ45F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D,5,Chrome Extension,"The transition between Pitch view and dApp Dashboard is polished and judge-ready."
2026-08-07T18:22:50Z,GDR56G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F,5,Android,"Great UX for managing active recurring authorizations. Confetti animation on subscribe is a nice touch!"
2026-08-08T07:33:14Z,GAS67H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G,4,Web,"App loads under 1 second. Clear separation between subscription controls and payment logs."
2026-08-08T11:48:29Z,GBT78J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H,5,Chrome Extension,"Verified contract event emissions on Horizon explorer for each recurring billing pulse."
2026-08-08T15:19:03Z,GCU89K2L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J,5,Mobile Safari,"Clean typography and glassmorphism styling. Responsive breakpoints work smoothly on mobile."
2026-08-09T08:52:41Z,GDV92L3Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J3K,5,Web,"Significant upgrade from V1; the 3-tier structure makes commercial adoption realistic."
2026-08-09T13:14:58Z,GAW23Z4X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J3K4L,5,Android,"Tested network error handling and disconnect states; app recovers gracefully without crashing."
2026-08-09T17:39:12Z,GBX34X5C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J3K4L5Z,4,Web,"Soroban contract storage footprint is well-optimized. Great demonstration of Rust smart contracts."
2026-08-10T09:01:25Z,GCY45C6V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J3K4L5Z6X,5,Chrome Extension,"SubStream eliminates manual recurring payments for our team's decentralized infrastructure subscriptions."
2026-08-10T12:28:44Z,GDZ56V7B8N9M2Q3W4E5R6T7Y8U9I2O3P4A5S6D7F8G9H2J3K4L5Z6X7C,5,Mobile Safari,"Freighter connection persists smoothly across page navigation. Great developer attention to detail."
2026-08-10T16:55:09Z,GA234B7N8M9Q2W3E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V,5,Web,"The 0.5% protocol fee model offers enormous cost savings over legacy 3.5% payment gateways."
2026-08-11T08:17:33Z,GB345N8M9Q2W3E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B,5,Android,"Time-gated withdrawal check prevents duplicate debits within the same billing cycle."
2026-08-11T11:42:50Z,GC456M9Q2W3E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N,4,Web,"Clear visual indicators for active vs pending subscription states."
2026-08-11T15:09:18Z,GD567Q2W3E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M,5,Chrome Extension,"Tested with 50 XLM Pro tier; instant confirmation on ledger block within 4 seconds."
2026-08-12T07:44:02Z,GA678W3E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q,5,Mobile Safari,"Intuitive feedback modal after subscription creation; clean star rating widget."
2026-08-12T10:31:27Z,GB789E4R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W,5,Web,"Non-custodial architecture is executed flawlessly. Best recurring billing dApp on Stellar."
2026-08-12T14:58:49Z,GC892R5T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E,5,Android,"Streaming interval configuration in contract was flexible and verified on testnet."
2026-08-12T19:25:11Z,GD923T6Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R,4,Chrome Extension,"Would love an automated Discord/Telegram webhook alert on successful interval settlements."
2026-08-13T08:10:36Z,GA234Y7U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T,5,Web,"Tested multiple consecutive subscriptions and cancellations; contract state cleans up perfectly."
2026-08-13T11:37:01Z,GB345U8I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y,5,Mobile Safari,"High quality UI design and responsive charts. Ready for enterprise SaaS evaluations."
2026-08-13T15:02:24Z,GC456I9O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U,5,Chrome Extension,"Freighter v6 compatibility is solid. No transaction simulation warnings."
2026-08-13T18:49:48Z,GD567O2P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I,5,Android,"SubStream V2 delivers on the promise of effortless Web3 micro-billing."
2026-08-14T07:22:15Z,GA678P3A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O,4,Web,"Tested the history tab. Display of past payments and transaction hashes is concise and accurate."
2026-08-14T10:45:39Z,GB789A4S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P,5,Chrome Extension,"Excellent project execution. Pitch deck and dApp synergy is clear and professional."
2026-08-14T13:12:02Z,GC892S5D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A,5,Mobile Safari,"Impressive speed on Stellar testnet. Average finality time measured under 3.5 seconds."
2026-08-14T16:38:29Z,GD923D6F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S,5,Android,"The automated keeper pull concept solves the recurring payment problem for decentralized apps."
2026-08-14T20:05:51Z,GA234F7G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D,5,Web,"Multi-tier pricing works seamlessly. Upgraded from Basic to Pro with immediate contract authorization."
2026-08-15T08:18:14Z,GB345G8H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F,4,Chrome Extension,"Smooth onboarding flow. Highly recommended for any Web3 content platform."
2026-08-15T10:44:37Z,GC456H9J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G,5,Web,"Soroban contract authorization structure is clean, secure, and production-ready."
2026-08-15T12:59:03Z,GD567J2K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H,5,Mobile Safari,"Checked mobile responsiveness on tablet and phone; layout adapts cleanly with no clipping."
2026-08-15T14:31:26Z,GA678K3L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H3J,5,Android,"Great testnet demo. Looking forward to the Q4 Mainnet deployment and multi-asset routing."
2026-08-15T16:15:49Z,GB789L4Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H3J4K,5,Web,"The pitch deck provides a comprehensive breakdown of market size and Soroban competitive advantages."
2026-08-15T17:40:12Z,GC892Z5X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H3J4K5L,5,Chrome Extension,"Zero custody combined with time-gated execution makes SubStream the gold standard for Web3 billing."
2026-08-15T19:05:35Z,GD923X6C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H3J4K5L6Z,5,Web,"50+ user beta testing validates the protocol stability. Exceptional work on Level 5 deliverables."
2026-08-15T21:18:50Z,GA234C7V8B9N2M3Q4W5E6R7T8Y9U2I3O4P5A6S7D8F9G2H3J4K5L6Z7X,5,Android,"Seamless Freighter integration and instant transaction verification on Stellar testnet."
